uri,cid,author_did,author_handle,author_display_name,text,created_at,reply_count,repost_count,like_count,indexed_at,langs
at://did:plc:fkq5v4vxrquwqijpejjvvuwb/app.bsky.feed.post/3lv6igvzejc2p,bafyreifd5y4edwi5l7mujmwwesabdmqulljajb4hlwl3zihyl2i7o2w4wa,did:plc:fkq5v4vxrquwqijpejjvvuwb,jemimasvintage.bsky.social,,"he’s out here calling leftists Eva Braun & neo-n*zi, actively looking for agro? I don’t mind his combativeness, in fact, I think its BETTER to stand up like that. but his targets? most have been leftist. I checked him out to see y. meanwhile his minions: ‘you cannot SPEAK *to or about* our lord’ 🙄🙄",2025-07-30T11:12:29.632Z,1,0,0,2025-07-30T11:12:31.009Z,['en']
at://did:plc:b7wff6nbbqpvv2ery7sakhna/app.bsky.feed.post/3lv6hn2arqs2x,bafyreic2vbdbl2cgocl5rpg4l54bltw35i6ej2q76jjmmr7nkmehipa42u,did:plc:b7wff6nbbqpvv2ery7sakhna,luiscoml.bsky.social,Obby Oszourne,Bolsonaros ou a grana do agro: uma escolha nada difícil.,2025-07-30T10:58:01.655Z,0,1,3,2025-07-30T10:58:05.514Z,['pt']
at://did:plc:pyj7jgvx7hpyfj3ytctytjpy/app.bsky.feed.post/3lv6h2vsjrk2t,bafyreifn6mdpfwbocci3qdjbkj2vapsjp47fbl3rl6rwmslstfg3lvn4ti,did:plc:pyj7jgvx7hpyfj3ytctytjpy,disnelson74.bsky.social,Disnelson,Esse Agro já deveria ter perdido as benesses do governo a muito tempo.,2025-07-30T10:47:53.015Z,0,1,2,2025-07-30T10:47:54.108Z,['pt']
at://did:plc:fkq5v4vxrquwqijpejjvvuwb/app.bsky.feed.post/3lv6gzclwa22p,bafyreigiwiuym2menhgdvi2oeqqeean2galptvcz6m6hzefbf77nreedti,did:plc:fkq5v4vxrquwqijpejjvvuwb,jemimasvintage.bsky.social,,"almost all a/c’s Kweli argues with are left wing. wen yer check the a/c’s out? it’s all good. ok yes, some truly are WNKRS but most? all good. I’m gonna continue testin this hypothesis bc he’s clearly LOOKIN for agro. he summoned *me* this time btw, which I don’t mind but b prepared to DEAL ffs 🤷‍♀️🤷‍♀️",2025-07-30T10:46:59.319Z,1,0,0,2025-07-30T10:47:00.607Z,['en']
at://did:plc:tcya7euhn3pgh7jldmufu5vs/app.bsky.feed.post/3lv6gpkzhk224,bafyreig3cs6qszijogyjtqozqgwrx5eyfrhja4c4hq4rba3bfvkxdtx5fi,did:plc:tcya7euhn3pgh7jldmufu5vs,ninadramas.bsky.social,Nina,"É sobre isso 💅💅💅 tenho muitas preocupações na vida, nenhuma relacionada a quanto o agro vai deixar de ganhar kkkk",2025-07-30T10:41:32.608Z,1,0,1,2025-07-30T10:41:34.811Z,['pt']
at://did:plc:z7lkqlobtsv7jpm6l7xovomc/app.bsky.feed.post/3lv6ghgmzts26,bafyreib6qis66r54fjcabvr4sghr7dsuv6budoyt7jd272rbkhs7g7iipq,did:plc:z7lkqlobtsv7jpm6l7xovomc,brasil247.bsky.social,Brasil 247,"Exportações de carne para os EUA despencam e Marfrig suspende produção em Mato Grosso
www.brasil247.com/agro/exporta...",2025-07-30T10:36:59.572Z,0,0,12,2025-07-30T10:36:46.407Z,['pt']
at://did:plc:rlsbh33ybz25hkevctidssxe/app.bsky.feed.post/3lv6gazwxck22,bafyreidhhspyj7cvvoctn4p3r65eg4u6xx6bravpqyd2akcoeikcjzetda,did:plc:rlsbh33ybz25hkevctidssxe,bethlucida.bsky.social,Bethlucida,Exportações de carne para os EUA despencam e Marfrig suspende produção em Mato Grosso www.brasil247.com/agro/exporta...,2025-07-30T10:33:24.938Z,0,0,0,2025-07-30T10:33:31.908Z,['pt']
at://did:plc:hycn5zlofz7gdlx3axgeivan/app.bsky.feed.post/3lv6fyqxfm22e,bafyreicnn7bz5yyfkyxyqrwknkon2dtjrflwcninuj6scjejnxjfcsunlm,did:plc:hycn5zlofz7gdlx3axgeivan,cloovis.bsky.social,Cloovis,"Samuel Étienne, celui qui a fait une sponso lobby agro industriel qui a participé à l’écriture de la loi duplomb ? Un moment faudrait que ça lui retombe un peu dessus non ? Tous le monde a oublié ? Lobby et influence ont amené cette loi…",2025-07-30T10:28:47.080Z,2,0,2,2025-07-30T10:28:47.905Z,['fr']
at://did:plc:eoie5lk6kyy5epjengk6hbfx/app.bsky.feed.post/3lv6fm5baqk2n,bafyreigjsuhvzun5qb6qlnbnaz6vmkfougpabmfqdwmsmctdpuagyktyom,did:plc:eoie5lk6kyy5epjengk6hbfx,principeestranho.bsky.social,Principe Estranho 👑,"Pecuarista envolvida com o PCC é uma das maiores doadoras da campanha do Cara de Areia Mijada.

O agro é crime organizado!

jornaldebrasilia.com.br/noticias/pol...",2025-07-30T10:21:43.778Z,0,1,2,2025-07-30T10:21:45.409Z,['pt']
at://did:plc:74xjlh7ae6jcdhstrjcx4vsx/app.bsky.feed.post/3lv6fkufe7c2l,bafyreib5ktwhjxcep7d6kan3jh4bqqsv5wukb2hzl3feml2uxzytmrcsmq,did:plc:74xjlh7ae6jcdhstrjcx4vsx,baruquinhobr.bsky.social,Theo Baruquinho - Brasil SOBERANO 🇧🇷,"O Agro produz commodites 

A Agricultura Familiar produz comida",2025-07-30T10:21:00.922Z,0,0,6,2025-07-30T10:21:05.705Z,['pt']
